Domain Code,Domain,Recipient Country Code (M49),Recipient Country,Donor Code (M49),Donor,Element Code,Element,Item Code,Item,Purpose Code,Purpose,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2011","2011","million USD","140.900868","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2012","2012","million USD","112.935163","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2013","2013","million USD","142.748308","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2014","2014","million USD","112.351787","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2015","2015","million USD","195.210797","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2016","2016","million USD","161.269025","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2017","2017","million USD","256.64872","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2018","2018","million USD","197.854454","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2019","2019","million USD","349.821089","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2020","2020","million USD","236.030365","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2021","2021","million USD","165.145654","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2022","2022","million USD","148.945727","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2023","2023","million USD","178.933632","X","Figure from external organization",""
