Domain Code,Domain,Recipient Country Code (M49),Recipient Country,Donor Code (M49),Donor,Element Code,Element,Item Code,Item,Purpose Code,Purpose,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2008","2008","million USD","34.289924","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2009","2009","million USD","61.200358","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2010","2010","million USD","54.237529","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2011","2011","million USD","97.48697","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2012","2012","million USD","79.559977","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2013","2013","million USD","142.657806","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2014","2014","million USD","172.039437","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2015","2015","million USD","101.371184","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2016","2016","million USD","74.125421","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2017","2017","million USD","144.001765","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2018","2018","million USD","133.295652","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2019","2019","million USD","293.204523","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2020","2020","million USD","234.758279","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2021","2021","million USD","196.708051","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2022","2022","million USD","290.371422","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","32161","Agro-industries","2023","2023","million USD","804.265721","X","Figure from external organization",""
