Domain Code,Domain,Recipient Country Code (M49),Recipient Country,Donor Code (M49),Donor,Element Code,Element,Item Code,Item,Purpose Code,Purpose,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2008","2008","million USD","733.132809","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2009","2009","million USD","748.130211","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2010","2010","million USD","751.29796","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2011","2011","million USD","879.095599","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2012","2012","million USD","961.871136","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2013","2013","million USD","1089.611807","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2014","2014","million USD","1355.95487","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2015","2015","million USD","1338.353471","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2016","2016","million USD","1296.098001","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2017","2017","million USD","1273.105105","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2018","2018","million USD","1193.155672","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2019","2019","million USD","1122.21257","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2020","2020","million USD","1066.567503","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2021","2021","million USD","1437.941958","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2022","2022","million USD","1312.770254","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F702","All Donors","6110","Value US$","22050","Disbursement","410","General Environment Protection","2023","2023","million USD","1535.816513","X","Figure from external organization",""
