Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","million USD","442.98","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2012","2012","million USD","356.6","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2013","2013","million USD","569.05","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2014","2014","million USD","407.26","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2015","2015","million USD","255.46","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2016","2016","million USD","237.38","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2017","2017","million USD","190.33","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2018","2018","million USD","163.46","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2019","2019","million USD","344.81","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2020","2020","million USD","239.5","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2021","2021","million USD","253.95","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2022","2022","million USD","345.79","A","Official figure",""
"CISP","Country Investment Statistics Profile","024","Angola","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2023","2023","million USD","155.96","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","million USD","1728.3","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2012","2012","million USD","1967.78","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2013","2013","million USD","2079.96","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2014","2014","million USD","1798.16","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2015","2015","million USD","1657.34","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2016","2016","million USD","1559.87","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2017","2017","million USD","1305.33","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2018","2018","million USD","1367.17","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2019","2019","million USD","1216.24","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2020","2020","million USD","1390.15","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2021","2021","million USD","1552.47","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2022","2022","million USD","1832.96","A","Official figure",""
"CISP","Country Investment Statistics Profile","818","Egypt","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2023","2023","million USD","1633.71","A","Official figure",""
"CISP","Country Investment Statistics Profile","624","Guinea-Bissau","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","million USD","13.05","A","Official figure",""
"CISP","Country Investment Statistics Profile","624","Guinea-Bissau","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2012","2012","million USD","3.48","A","Official figure",""
"CISP","Country Investment Statistics Profile","624","Guinea-Bissau","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2013","2013","million USD","5.59","A","Official figure",""
"CISP","Country Investment Statistics Profile","624","Guinea-Bissau","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2014","2014","million USD","4.13","A","Official figure",""
"CISP","Country Investment Statistics Profile","624","Guinea-Bissau","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2015","2015","million USD","6.77","A","Official figure",""
"CISP","Country Investment Statistics Profile","404","Kenya","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2020","2020","million USD","584.21","X","Figure from external organization",""
"CISP","Country Investment Statistics Profile","404","Kenya","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2023","2023","million USD","514.67","X","Figure from external organization",""
"CISP","Country Investment Statistics Profile","480","Mauritius","61840","Value US$, 2015 prices","23131","Agriculture, forestry, fishing (general government expenditure)","2011","2011","million USD","72.98","A","Official figure",""
