Domain Code,Domain,Recipient Country Code (M49),Recipient Country,Donor Code (M49),Donor,Element Code,Element,Item Code,Item,Purpose Code,Purpose,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2011","2011","million USD","2.726185","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2012","2012","million USD","1.718452","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2013","2013","million USD","2.669908","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2014","2014","million USD","2.05365","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2017","2017","million USD","0.8","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2018","2018","million USD","0.74489","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2019","2019","million USD","4.543181","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2020","2020","million USD","6.489888","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2021","2021","million USD","7.872433","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2022","2022","million USD","14.683725","X","Figure from external organization",""
"EA","Development Flows to Agriculture","002","Africa","F692","Private Donors","6110","Value US$","22050","Disbursement","31130","Agricultural land resources","2023","2023","million USD","14.86136","X","Figure from external organization",""
